date,club,caller,cuer,remarks,start,end,caller,cuer,price,levels
2026-08-21,WheelSteppers.jpg,ConnieGraham.jpg,,,,,,,,
2026-09-11,WheelSteppers.jpg,manning.jpg,,Anniversary Dance!,,,,,,
2026-10-02,WheelSteppers.jpg,DonSeaman.jpg,,,,,,,,
2026-11-06,WheelSteppers.jpg,sprosty.jpg,,,,,,,,
2026-12-04,WheelSteppers.jpg,DougMcCart.webp,Kuhle.jpg,Christmas Dance,,,,,,
2026-03-19,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-03-29,solosteppers.png,DougMcCart.webp,DougSprosty.jpg,,,,,,,MP
2026-04-09,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Western Barbecue,,,,,,
2026-04-16,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Popcorn Night,,,,,,
2026-04-23,solosteppers.png,BarryPeck.jpg,CarlaPeck.jpg,,,,,,,
2026-04-30,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Salad Night,,,,,,
2026-05-07,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Mothers’ Day Dance,,,,,,
2026-05-14,solosteppers.png,GarySmith.jpg,GarySmith.jpg,,,,,,,
2026-05-21,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Cinco De Mayo Fiesta,,,,,,
2026-05-28,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-06-04,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-06-11,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Gospel Night,,,,,,
2026-06-18,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Fathers Day Dance,,,,,,
2026-06-25,solosteppers.png,TomKathyNickle.jpg,TomKathyNickle.jpg,,,,,,,
2026-07-09,solosteppers.png,JimWilliams.webp,,,,,,,,MP
2026-07-16,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Pizza Party,,,,,,
2026-07-30,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-08-13,solosteppers.png,DonSeaman.jpg,,,,,,,,MP
2026-08-20,solosteppers.png,CurtBraffet.webp,,,,,,,,MP
2026-08-27,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Food Pantry Collection,,,,,,
2026-09-03,solosteppers.png,DougMcCart.webp,,,,,,,,MP
2026-09-10,solosteppers.png,BarryPeck.jpg,CarlaPeck.jpg,,,,,,,
2026-09-17,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Root Beer Float Night,,,,,,
2026-09-24,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Club 52nd Anniversary,,,,,,
2026-10-01,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-10-15,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Baked Potato Bar,,,,,,
2026-10-15,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Sports Night,,,,,,
2026-10-22,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-10-29,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Halloween Dance,,,,,,
2026-11-05,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-11-12,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-11-19,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Thanksgiving Dinner,,,,,,
2026-12-03,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Toys for Tots,,,,,,
2026-12-10,solosteppers.png,manning.jpg,manning.jpg,,,,,,,
2026-12-17,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Christmas Party,,,,,,
2026-12-31,solosteppers.png,sprosty.jpg,sprosty.jpg,New Year’s Eve,,,,,,
2026-03-17,circlesquareb.png,manning.jpg,,,,,,,,
2026-03-24,circlesquareb.png,manning.jpg,,,,,,,,
2026-03-31,circlesquareb.png,manning.jpg,,,,,,,,
2026-03-17,circlesquareb.png,manning.jpg,,,,,,,,
2026-04-07,circlesquareb.png,manning.jpg,,,,,,,,
2026-04-14,circlesquareb.png,manning.jpg,,,,,,,,
2026-04-19,circlesquareb.png,manning.jpg,,Brunch and Dance,11:30 AM,03:30 PM,,,,
2026-04-21,circlesquareb.png,manning.jpg,,Big Skirt Night,,,,,,
2026-04-28,circlesquareb.png,manning.jpg,,,,,,,,
2026-05-05,circlesquareb.png,manning.jpg,,,,,,,,
2026-05-19,circlesquareb.png,manning.jpg,,Big Skirt Night,,,,,,
2026-05-26,circlesquareb.png,manning.jpg,,,,,,,,
2026-06-02,circlesquareb.png,manning.jpg,,,,,,,,
2026-06-09,circlesquareb.png,manning.jpg,,,,,,,,
2026-06-16,circlesquareb.png,manning.jpg,,Big Skirt Night,,,,,,
2026-06-23,circlesquareb.png,manning.jpg,,,,,,,,
2026-06-30,circlesquareb.png,manning.jpg,,,,,,,,
2026-07-07,circlesquareb.png,manning.jpg,,maybe cookout,,,,,,
2026-07-14,circlesquareb.png,manning.jpg,,,,,,,,
2026-07-21,circlesquareb.png,manning.jpg,,Big Skirt Night,,,,,,
2026-07-28,circlesquareb.png,manning.jpg,,,,,,,,
2026-08-04,circlesquareb.png,manning.jpg,,,,,,,,
2026-08-11,circlesquareb.png,manning.jpg,,,,,,,,
2026-08-18,circlesquareb.png,manning.jpg,,Big Skirt Night,,,,,,
2026-08-25,circlesquareb.png,manning.jpg,,,,,,,,
2026-04-17,dudesdolls.png,BarryJohnson.jpg,,All plus,,,,,,P
2026-05-29,dudesdolls.png,DanPreedy.jpg,,,,,,,,
2026-06-05,dudesdolls.png,jesseMillspaugh.jpg,,,,,,,,
2026-06-16,dudesdolls.png,DennisThompson.jpg,,,,,,,,
2026-07-17,dudesdolls.png,BobAsp.jpg,,,,,,,,
2026-08-07,dudesdolls.png,hogan.jpg,,,,,,,,
2026-09-07,dudesdolls.png,GarySmith.jpg,,,,,,,,
2026-09-18,dudesdolls.png,JimWilliams.webp,,,,,,,,MPA
2026-10-16,dudesdolls.png,BarryPeck.jpg,,,,,,,,
2026-10-25,dudesdolls.png,manning.jpg,,Harvest Dance,02:00 PM,04:30 PM,,,,
2026-11-06,dudesdolls.png,Tannehille..jpg,,,,,,,,
2026-11-20,dudesdolls.png,JimWilliams.webp,,,,,,,,MPA
2026-12-04,dudesdolls.png,GarySmith.jpg,,,,,,,,
2026-12-18,dudesdolls.png,manning.jpg,,,,,,,,
2026-04-12,PetticoatsJunction.jpg,hogan.jpg,,"Meal following, raffle.",,,,,,
2026-04-26,PetticoatsJunction.jpg,MINK_Ladies.jpg,,,,,,,,
2026-09-27,PetticoatsJunction.jpg,ConnieGraham.jpg,,,,,,,,
2026-10-11,PetticoatsJunction.jpg,hogan.jpg,,,,,,,,
2026-10-25,PetticoatsJunction.jpg,BarryPeck.jpg,CarlaPeck.jpg,Masquerade Ball,,,,,,
2026-11-08,PetticoatsJunction.jpg,manning.jpg,,,,,,,,
2026-12-13,PetticoatsJunction.jpg,DougMcCart.webp,,Camo Dance,,,,,,
2026-04-18,LoessHills.jpg,jesseMillspaugh.jpg,AmySwift.jpg,,,,,,,
2026-05-02,LoessHills.jpg,chris_wildhagen.jpg,AmySwift.jpg,,,,,,,
2026-09-27,LoessHills.jpg,KenardSwift.jpg,,,02:00 PM,04:30 PM,,,,
2026-04-19,UnionSquares.jpeg,BarryPeck.jpg,,,,,,,,
2026-05-17,UnionSquares.jpeg,ConnieGraham.jpg,,,,,,,,
