,documenting columns,,,,,club icon,geo,directions,caller photo,cuer photo,contact,cost
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd St, Davenport",Doug McCart,7:00 - 9:30,,"41.5745758,-90.5781588",HopeChurch.txt,DougMcCart.webp,,,
,FRIDAY,,27 JUNE,,,,,,,,,
EC,Rapid Eights,MP,"Toddville Legion Hall, 3275 Otter Rd., Toddville",Doug McCart,7 - 9:30 Beauty School Drop-out,,"42.10038,-91.71663",toddville.txt,DougMcCart.webp,,,
,TUESDAY,,1 JULY,,,,,,,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Tom Manning,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,,,,
,TUESDAY,,8 JULY,,,,,,manning.png,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Dave Rousch,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,,,,
,WEDNESDAY,,9 JULY,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,10  JULY,,,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd St, Davenport",Gary Smith,7:00 - 9:30,,"41.5745758,-90.5781588",HopeChurch.txt,GarySmith.jpg,,,
,FRIDAY,,11 JULY,,,,,,,,,
QC,Wheel N Steppers,MPR,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Jim Williams,7:00 - 9:30,,"41.5550615,-90.5455025",EdwardsChurch.txt,,,,
,SATURDAY,,12 JULY,,,,,,,,,
NE,Ankeny Squares,mr,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Gary Smith/Ed and Patricia Schneiders,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,GarySmith.jpg,Schneiders.jpg,,
,TUESDAY,,15 JULY,Tom Manning Eat at 6PM,7-9:30 Fish Fry,,,,manning.png,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,,,,
,WEDNESDAY,,16 JULY,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,17 JULY,,,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd St, Davenport",Don & Doug Sprosty/Doug,7- 9:30 Pizza Night,,"41.5745758,-90.5781588",HopeChurch.txt,sprosty.jpg,,,
,SATURDAY,,19 JULY,,,,,,,,,
NE,Stardusters,MP,"Smith's Dancing Meadows, 1503 190th St., Waverly",Gary Smith,7:00 - 9:30,,,,GarySmith.jpg,,,
SE,Lads & Lassies,MP,"ISU Extension Ctr, 210 N Iowa St, Knoxville",Bill Reynolds,7:00 - 9:30,,"41.320195, -93.106079",Knoxville.txt,,,,
,SUNDAY,,20  JULY,,,,,,,,,
QC,Morrison Grand Sq.,MP,"Odell Library ComRoom,307 S Madison,Morrison,IL  ",Doug McCart,2:00 - 4:30,,,,DougMcCart.webp,,,
,TUESDAY,,22 JULY,,,,,,,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Tom Manning,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,23  JULY,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,24  JULY,,,,,,,,,
QC,Acey Duceys,A2,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 9:00,,"41.5550615,-90.5455025",EdwardsChurch.txt,manning.png,,,
,FRIDAY,,25  JULY,,,,,,,,,
EC,Rapid Eights,MP,"Toddville Legion Hall, 3275 Otter Rd., Toddville",Jim Williams,7:00 - 9:30 Whodunit,,"42.10038,-91.71663",toddville.txt,,,,
,SATURDAY,,26 JULY,,,,,,,,,
,ISCCIA,MPR,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",ISCCIA callers/cuers,7:00 - 9:30 Meeting at 2:00,,,,,,,
,TUESDAY,,29 JULY,,,,,,,,,
